ESTADO;REGIAO
ACRE;NORTE
AMAZONAS;NORTE
AMAPÁ;NORTE
PARÁ;NORTE
RONDONIA;NORTE
RORAIMA;NORTE
TOCANTINS;NORTE
ALAGOAS;NORDESTE
BAHIA;NORDESTE
CEARA;NORDESTE
MARANHÃO;NORDESTE
PARAÍBA;NORDESTE
PERNAMBUCO;NORDESTE
PIAUÍ;NORDESTE
RIO GRANDE DO NORTE;NORDESTE
SERGIPE;NORDESTE
GOIAS;CENTRO-OESTE
MATO GROSSO DO SUL;CENTRO-OESTE
MATO GROSSO;CENTRO-OESTE
ESPIRITO SANTO;SUDESTE
MINAS GERAIS;SUDESTE
RIO DE JANEIRO;SUDESTE
SÃO PAULO;SUDESTE
PARANÁ;SUL
RIO GRANDE DO SUL;SUL
SANTA CATARINA;SUL
DISTRITO FEDERAL;CENTRO-OESTE
